07 Apr 12:45:48,895 INFO - resultDir = results\CHROME-windows 7-local 
07 Apr 12:45:48,949 INFO - resultDir = results\CHROME-windows 7-local 
07 Apr 12:45:48,957 INFO - resultDir = results\CHROME-windows 7-local 
07 Apr 12:45:54,113 INFO - resultDir = results\CHROME-windows 7-local 
07 Apr 12:45:59,377 INFO - resultDir = results\CHROME-windows 7-local 
07 Apr 12:46:08,454 INFO - resultDir = results\CHROME-windows 7-local 
07 Apr 12:46:08,504 INFO - resultDir = results\CHROME-windows 7-local 
07 Apr 12:46:08,513 INFO - resultDir = results\CHROME-windows 7-local 
07 Apr 12:46:12,585 INFO - resultDir = results\CHROME-windows 7-local 
07 Apr 12:46:12,641 INFO - resultDir = results\CHROME-windows 7-local 
07 Apr 12:46:12,649 INFO - resultDir = results\CHROME-windows 7-local 
07 Apr 12:46:12,722 INFO - resultDir = results\CHROME-windows 7-local 
07 Apr 12:46:12,722 INFO - resultDir = results\CHROME-windows 7-local 
07 Apr 12:46:16,800 INFO - resultDir = results\CHROME-windows 7-local 
07 Apr 12:46:16,850 INFO - resultDir = results\CHROME-windows 7-local 
07 Apr 12:46:16,858 INFO - resultDir = results\CHROME-windows 7-local 
07 Apr 12:46:21,944 INFO - resultDir = results\CHROME-windows 7-local 
07 Apr 12:46:24,014 INFO - element not visible
  (Session info: chrome=49.0.2623.110)
  (Driver info: chromedriver=2.20.353145 (343b531d31eeb933ec778dbcf7081628a1396067),platform=Windows NT 6.1 SP1 x86_64) (WARNING: The server did not provide any stacktrace information)
Command duration or timeout: 15 milliseconds
Build info: version: '2.46.0', revision: '61506a4624b13675f24581e453592342b7485d71', time: '2015-06-04 10:22:50'
System info: host: 'HW0380', ip: '172.16.29.255', os.name: 'Windows 7', os.arch: 'amd64', os.version: '6.1', java.version: '1.7.0_71'
Session ID: fa5805e8be705606bfbd8b31d5c94677
Driver info: org.openqa.selenium.chrome.ChromeDriver
